"
stimulus_presentations_id","stimulus_block
","stimulus_block_name
","image_index
","image_name
","movie_frame_index
","duration
","start_time
","end_time
","start_frame
","end_frame
","is_change
","is_image_novel
","omitted
","movie_repeat
","flashes_since_change
","trials_id
","is_sham_change
","stimulus_name
","active
"
5244,3,natural_movie_one,-99,NaN,436,0.03341,4229.365906,4229.399316,253128,253129,False,<NA>,<NA>,0,443,-99,False,natural_movie_one,False
5245,3,natural_movie_one,-99,NaN,437,0.03331,4229.399316,4229.432626,253130,253131,False,<NA>,<NA>,0,444,-99,False,natural_movie_one,False
5246,3,natural_movie_one,-99,NaN,438,0.03336,4229.432626,4229.465986,253132,253133,False,<NA>,<NA>,0,445,-99,False,natural_movie_one,False
5247,3,natural_movie_one,-99,NaN,439,0.03336,4229.465986,4229.499346,253134,253135,False,<NA>,<NA>,0,446,-99,False,natural_movie_one,False
5248,3,natural_movie_one,-99,NaN,440,0.03336,4229.499346,4229.532706,253136,253137,False,<NA>,<NA>,0,447,-99,False,natural_movie_one,False
5249,3,natural_movie_one,-99,NaN,441,0.03336,4229.532706,4229.566066,253138,253139,False,<NA>,<NA>,0,448,-99,False,natural_movie_one,False
5250,3,natural_movie_one,-99,NaN,442,0.03336,4229.566066,4229.599426,253140,253141,False,<NA>,<NA>,0,449,-99,False,natural_movie_one,False
5251,3,natural_movie_one,-99,NaN,443,0.03337,4229.599426,4229.632796,253142,253143,False,<NA>,<NA>,0,450,-99,False,natural_movie_one,False
5252,3,natural_movie_one,-99,NaN,444,0.03337,4229.632796,4229.666166,253144,253145,False,<NA>,<NA>,0,451,-99,False,natural_movie_one,False
5253,3,natural_movie_one,-99,NaN,445,0.03340,4229.666166,4229.699566,253146,253147,False,<NA>,<NA>,0,452,-99,False,natural_movie_one,False
5254,3,natural_movie_one,-99,NaN,446,0.03331,4229.699566,4229.732876,253148,253149,False,<NA>,<NA>,0,453,-99,False,natural_movie_one,False
5255,3,natural_movie_one,-99,NaN,447,0.03335,4229.732876,4229.766226,253150,253151,False,<NA>,<NA>,0,454,-99,False,natural_movie_one,False
5256,3,natural_movie_one,-99,NaN,448,0.03343,4229.766226,4229.799656,253152,253153,False,<NA>,<NA>,0,455,-99,False,natural_movie_one,False
5257,3,natural_movie_one,-99,NaN,449,0.03334,4229.799656,4229.832996,253154,253155,False,<NA>,<NA>,0,456,-99,False,natural_movie_one,False
5258,3,natural_movie_one,-99,NaN,450,0.03334,4229.832996,4229.866336,253156,253157,False,<NA>,<NA>,0,457,-99,False,natural_movie_one,False
5259,3,natural_movie_one,-99,NaN,451,0.03337,4229.866336,4229.899706,253158,253159,False,<NA>,<NA>,0,458,-99,False,natural_movie_one,False
5260,3,natural_movie_one,-99,NaN,452,0.03339,4229.899706,4229.933096,253160,253161,False,<NA>,<NA>,0,459,-99,False,natural_movie_one,False
5261,3,natural_movie_one,-99,NaN,453,0.03334,4229.933096,4229.966436,253162,253163,False,<NA>,<NA>,0,460,-99,False,natural_movie_one,False
5262,3,natural_movie_one,-99,NaN,454,0.03339,4229.966436,4229.999826,253164,253165,False,<NA>,<NA>,0,461,-99,False,natural_movie_one,False
5263,3,natural_movie_one,-99,NaN,455,0.03335,4229.999826,4230.033176,253166,253167,False,<NA>,<NA>,0,462,-99,False,natural_movie_one,False
5264,3,natural_movie_one,-99,NaN,456,0.03332,4230.033176,4230.066496,253168,253169,False,<NA>,<NA>,0,463,-99,False,natural_movie_one,False
5265,3,natural_movie_one,-99,NaN,457,0.03337,4230.066496,4230.099866,253170,253171,False,<NA>,<NA>,0,464,-99,False,natural_movie_one,False
5266,3,natural_movie_one,-99,NaN,458,0.03334,4230.099866,4230.133206,253172,253173,False,<NA>,<NA>,0,465,-99,False,natural_movie_one,False
5267,3,natural_movie_one,-99,NaN,459,0.03336,4230.133206,4230.166566,253174,253175,False,<NA>,<NA>,0,466,-99,False,natural_movie_one,False
5268,3,natural_movie_one,-99,NaN,460,0.03333,4230.166566,4230.199896,253176,253177,False,<NA>,<NA>,0,467,-99,False,natural_movie_one,False
5269,3,natural_movie_one,-99,NaN,461,0.03338,4230.199896,4230.233276,253178,253179,False,<NA>,<NA>,0,468,-99,False,natural_movie_one,False
5270,3,natural_movie_one,-99,NaN,462,0.03336,4230.233276,4230.266636,253180,253181,False,<NA>,<NA>,0,469,-99,False,natural_movie_one,False
5271,3,natural_movie_one,-99,NaN,463,0.03336,4230.266636,4230.299996,253182,253183,False,<NA>,<NA>,0,470,-99,False,natural_movie_one,False
5272,3,natural_movie_one,-99,NaN,464,0.03335,4230.299996,4230.333346,253184,253185,False,<NA>,<NA>,0,471,-99,False,natural_movie_one,False
